"DateTime","depth","temp","DateTime_H"
"2017-05-22 09:35:00",9,10.2,2017-05-22 09:00:00
"2017-05-22 09:35:00",9.2,10.2,2017-05-22 09:00:00
"2017-05-25 12:00:00",0.1,18.3,2017-05-25 12:00:00
"2017-05-25 12:00:00",1,18.1,2017-05-25 12:00:00
"2017-05-25 12:00:00",2,17.4,2017-05-25 12:00:00
"2017-05-25 12:00:00",3,16.1,2017-05-25 12:00:00
"2017-05-25 12:00:00",4,14.1,2017-05-25 12:00:00
"2017-05-25 12:00:00",5,11.3,2017-05-25 12:00:00
"2017-05-25 12:00:00",6,10.5,2017-05-25 12:00:00
"2017-05-25 12:00:00",8,10.3,2017-05-25 12:00:00
"2017-05-25 12:00:00",9,10.3,2017-05-25 12:00:00
"2017-05-25 12:00:00",9.2,10.3,2017-05-25 12:00:00
"2017-05-29 10:00:00",0.1,20.6,2017-05-29 10:00:00
"2017-05-29 10:00:00",1,20.5,2017-05-29 10:00:00
"2017-05-29 10:00:00",2,17.6,2017-05-29 10:00:00
"2017-05-29 10:00:00",3,16,2017-05-29 10:00:00
"2017-05-29 10:00:00",4,13.6,2017-05-29 10:00:00
"2017-05-29 10:00:00",5,10.9,2017-05-29 10:00:00
"2017-05-29 10:00:00",6,10.6,2017-05-29 10:00:00
"2017-05-29 10:00:00",8,10.5,2017-05-29 10:00:00
"2017-05-29 10:00:00",9,10.5,2017-05-29 10:00:00
"2017-05-29 10:00:00",9.2,10.5,2017-05-29 10:00:00
"2017-05-30 14:10:00",0.1,21.1,2017-05-30 14:00:00
"2017-05-30 14:10:00",1,18.6,2017-05-30 14:00:00
"2017-05-30 14:10:00",2,17.6,2017-05-30 14:00:00
"2017-05-30 14:10:00",3,17,2017-05-30 14:00:00
"2017-05-30 14:10:00",4,16.3,2017-05-30 14:00:00
"2017-05-30 14:10:00",5,15.3,2017-05-30 14:00:00
"2017-05-30 16:08:00",6,14.5,2017-05-30 16:00:00
"2017-05-30 16:08:00",7,10.8,2017-05-30 16:00:00
"2017-05-30 14:10:00",8,10.9,2017-05-30 14:00:00
"2017-05-30 14:10:00",9,10.7,2017-05-30 14:00:00
"2017-05-30 14:10:00",9.2,10.7,2017-05-30 14:00:00
"2017-06-01 11:45:00",0.1,21.9,2017-06-01 11:00:00
"2017-06-01 11:45:00",1,19.2,2017-06-01 11:00:00
"2017-06-01 11:45:00",2,18.1,2017-06-01 11:00:00
"2017-06-01 11:45:00",3,17.3,2017-06-01 11:00:00
"2017-06-01 11:45:00",4,16.2,2017-06-01 11:00:00
"2017-06-01 11:45:00",5,15.3,2017-06-01 11:00:00
"2017-06-01 11:45:00",6,13.5,2017-06-01 11:00:00
"2017-06-01 11:45:00",7,11.5,2017-06-01 11:00:00
"2017-06-01 11:45:00",8,11,2017-06-01 11:00:00
"2017-06-01 11:45:00",9,10.9,2017-06-01 11:00:00
"2017-06-01 11:45:00",9.2,10.9,2017-06-01 11:00:00
"2017-06-05 11:00:00",0.1,21.8,2017-06-05 11:00:00
"2017-06-05 11:00:00",1,22.1,2017-06-05 11:00:00
"2017-06-05 11:00:00",2,22,2017-06-05 11:00:00
"2017-06-05 11:00:00",3,18.3,2017-06-05 11:00:00
"2017-06-05 11:00:00",4,16.5,2017-06-05 11:00:00
"2017-06-05 11:00:00",5,15.2,2017-06-05 11:00:00
"2017-06-05 11:00:00",6,13,2017-06-05 11:00:00
"2017-06-05 11:00:00",8,11.4,2017-06-05 11:00:00
"2017-06-05 11:00:00",9,11.3,2017-06-05 11:00:00
"2017-06-05 11:00:00",9.2,11.3,2017-06-05 11:00:00
"2017-06-08 09:34:00",0.1,20.1,2017-06-08 09:00:00
"2017-06-08 09:34:00",1,20.1,2017-06-08 09:00:00
"2017-06-08 09:34:00",2,20,2017-06-08 09:00:00
"2017-06-08 09:34:00",3,18.3,2017-06-08 09:00:00
"2017-06-08 09:34:00",4,16.7,2017-06-08 09:00:00
"2017-06-08 09:34:00",5,14.9,2017-06-08 09:00:00
"2017-06-08 09:34:00",6,12,2017-06-08 09:00:00
"2017-06-08 09:34:00",8,11.6,2017-06-08 09:00:00
"2017-06-08 09:34:00",9,11.5,2017-06-08 09:00:00
"2017-06-08 09:34:00",9.2,11.5,2017-06-08 09:00:00
"2017-06-12 10:45:00",0.1,23.1,2017-06-12 10:00:00
"2017-06-12 10:45:00",1,23,2017-06-12 10:00:00
"2017-06-12 10:45:00",2,21.7,2017-06-12 10:00:00
"2017-06-12 10:45:00",3,18.9,2017-06-12 10:00:00
"2017-06-12 10:45:00",4,17.2,2017-06-12 10:00:00
"2017-06-12 10:45:00",5,15.1,2017-06-12 10:00:00
"2017-06-12 10:45:00",6,12.3,2017-06-12 10:00:00
"2017-06-12 10:45:00",8,11.9,2017-06-12 10:00:00
"2017-06-12 10:45:00",9,11.8,2017-06-12 10:00:00
"2017-06-12 10:45:00",9.2,11.8,2017-06-12 10:00:00
"2017-06-19 11:10:00",0.1,25.5,2017-06-19 11:00:00
"2017-06-19 11:10:00",1,24.7,2017-06-19 11:00:00
"2017-06-19 11:10:00",2,24,2017-06-19 11:00:00
"2017-06-19 11:10:00",3,20.1,2017-06-19 11:00:00
"2017-06-19 11:10:00",4,18,2017-06-19 11:00:00
"2017-06-19 11:10:00",5,15.3,2017-06-19 11:00:00
"2017-06-19 11:10:00",6,13,2017-06-19 11:00:00
"2017-06-19 11:10:00",8,12.5,2017-06-19 11:00:00
"2017-06-19 11:10:00",9,12.4,2017-06-19 11:00:00
"2017-06-19 11:10:00",9.2,12.4,2017-06-19 11:00:00
"2017-06-26 10:00:00",0.1,24.2,2017-06-26 10:00:00
"2017-06-26 10:00:00",1,24.1,2017-06-26 10:00:00
"2017-06-26 10:00:00",2,23.8,2017-06-26 10:00:00
"2017-06-26 10:00:00",3,21.1,2017-06-26 10:00:00
"2017-06-26 10:00:00",4,18.4,2017-06-26 10:00:00
"2017-06-26 10:00:00",5,15.1,2017-06-26 10:00:00
"2017-06-26 10:00:00",6,13,2017-06-26 10:00:00
"2017-06-26 10:00:00",8,12.7,2017-06-26 10:00:00
"2017-06-26 10:00:00",9,12.6,2017-06-26 10:00:00
"2017-06-26 10:00:00",9.2,12.6,2017-06-26 10:00:00
"2017-06-28 12:00:00",0.1,23.6346,2017-06-28 12:00:00
"2017-06-28 12:00:00",1,23.2851,2017-06-28 12:00:00
"2017-06-28 12:00:00",2,21.8394,2017-06-28 12:00:00
"2017-06-28 12:00:00",3,18.6588,2017-06-28 12:00:00
"2017-06-28 12:00:00",4,16.1564,2017-06-28 12:00:00
"2017-06-28 12:00:00",5,12.8227,2017-06-28 12:00:00
"2017-06-28 12:00:00",6,12.7361,2017-06-28 12:00:00
"2017-06-28 12:00:00",7,12.7299,2017-06-28 12:00:00
"2017-06-28 12:00:00",8,12.723,2017-06-28 12:00:00
"2017-06-28 12:00:00",9,12.7255,2017-06-28 12:00:00
"2017-06-28 12:00:00",9.2,12.7221,2017-06-28 12:00:00
"2017-07-04 12:00:00",0.1,25.5055,2017-07-04 12:00:00
"2017-07-04 12:00:00",1,25.4863,2017-07-04 12:00:00
"2017-07-04 12:00:00",2,22.5444,2017-07-04 12:00:00
"2017-07-04 12:00:00",3,19.0543,2017-07-04 12:00:00
"2017-07-04 12:00:00",4,15.754,2017-07-04 12:00:00
"2017-07-04 12:00:00",5,13.1168,2017-07-04 12:00:00
"2017-07-04 12:00:00",6,12.9296,2017-07-04 12:00:00
"2017-07-04 12:00:00",7,12.896,2017-07-04 12:00:00
"2017-07-04 12:00:00",8,12.8954,2017-07-04 12:00:00
"2017-07-04 12:00:00",9,12.8766,2017-07-04 12:00:00
"2017-07-04 12:00:00",9.2,12.8747,2017-07-04 12:00:00
"2017-07-05 12:00:00",0.1,22.05,2017-07-05 12:00:00
"2017-07-05 12:00:00",1,25.3,2017-07-05 12:00:00
